problem,avgcost,avgtime,maxcost,mincost
scp41,450.334,0.00262041902542,455,448
scp410,578.617333333,0.00255243118604,600,570
scp42,570.506333333,0.0026133600076,595,559
scp43,541.728,0.00255631351471,553,537
scp44,544.190333333,0.00268721866608,575,527
scp45,531.439666667,0.00260357364019,554,527
scp46,624.694333333,0.00261881176631,657,607
scp47,458.185333333,0.00247762727737,482,447
scp48,518.02,0.0025041560332,545,509
scp49,706.484333333,0.00282892862956,727,695
scp51,282.919666667,0.00259167162577,294,280
scp510,281.817666667,0.00258523758252,289,279
scp52,324.598666667,0.00270583788554,338,317
scp53,247.780333333,0.00238891347249,253,246
scp54,254.586666667,0.00257684572538,270,251
scp55,227.626333333,0.00254596861204,239,225
scp56,249.238333333,0.00255204860369,258,247
scp57,321.246333333,0.00262967189153,333,315
scp58,319.667666667,0.00265755947431,337,311
scp59,315.805666667,0.00257018518448,326,315
scp61,155.368666667,0.00171149094899,167,152
scp62,161.79,0.00168066350619,175,154
scp63,162.585333333,0.00157970174154,172,160
scp64,141.865333333,0.00166394503911,149,140
scp65,185.485,0.00172811539968,194,181
scpa1,264.768,0.00309570097923,279,261
scpa2,281.199,0.00339905778567,297,275
scpa3,254.431,0.00331018193563,261,252
scpa4,253.957666667,0.00350489028295,269,246
scpa5,246.466666667,0.00329621601105,262,240
scpb1,86.1546666667,0.0020385796229,89,85
scpb2,89.9496666667,0.002158061107,95,88
scpb3,86.5756666667,0.00191801508268,93,85
scpb4,84.7293333333,0.00224963347117,88,84
scpb5,80.5916666667,0.00209937151273,87,78
scpc1,239.098333333,0.00413510394096,251,235
scpc2,240.233666667,0.00415471156438,248,235
scpc3,278.736,0.00416229255994,293,270
scpc4,249.796333333,0.0041574297746,261,246
scpc5,226.996,0.00407324202855,240,221
scpclr10,35.0,0.00333078026772,35,35
scpclr11,35.0,0.0061690205733,35,35
scpclr12,35.0,0.0114081850847,35,35
scpclr13,35.0,0.0259850579103,35,35
scpcyc06,86.093,0.00371463704109,90,81
scpcyc07,209.932666667,0.0109032969475,218,200
scpcyc08,496.425666667,0.0377837980588,511,481
scpcyc09,1148.10766667,0.155365633408,1169,1125
scpcyc10,2609.919,0.664389921586,2643,2569
scpcyc11,5854.47866667,2.99264540037,5899,5803
scpd1,65.425,0.00233012763659,73,61
scpd2,74.6346666667,0.00229911867778,79,72
scpd3,80.199,0.00248097666105,86,79
scpd4,67.8476666667,0.00235346992811,71,66
scpd5,66.2506666667,0.00243583997091,70,65
scpe1,7.66966666667,0.000349000374476,8,7
scpe2,7.57866666667,0.000327631791433,8,7
scpe3,6.0,0.000294436057409,6,6
scpe4,7.0,0.000276429732641,7,7
scpe5,6.06566666667,0.000349142551422,7,6
scpnre1,30.1523333333,0.00173005604744,32,30
scpnre2,34.8323333333,0.00181427160899,38,34
scpnre3,33.579,0.00171352593104,36,32
scpnre4,33.2063333333,0.00174056053162,35,33
scpnre5,31.0383333333,0.00169131994247,33,30
scpnrf1,17.0,0.00131908830007,17,17
scpnrf2,18.0,0.0012325284481,18,18
scpnrf3,17.5393333333,0.00152198410034,19,17
scpnrf4,17.4233333333,0.00133769305547,19,16
scpnrf5,16.1246666667,0.00120977107684,17,16
scpnrg1,197.700666667,0.00743819292386,207,193
scpnrg2,171.177666667,0.00722177362442,180,166
scpnrg3,181.892,0.00714204502106,188,179
scpnrg4,188.65,0.00726920938492,199,182
scpnrg5,190.678,0.00733399971326,198,186
scpnrh1,74.3633333333,0.00443503602346,80,69
scpnrh2,71.5043333333,0.00433714580536,77,67
scpnrh3,69.8993333333,0.004310480992,74,67
scpnrh4,68.207,0.0042358909448,72,66
scpnrh5,62.018,0.00413610641162,67,60
