problem,cost,iters,maxcost,mincost,runtime
scp41,449.0,39.0,450,448,0.903893208503
scp410,573.2,39.0,577,572,0.452147603035
scp42,560.8,39.0,567,559,0.326178240776
scp43,537.4,39.0,539,537,0.860561728477
scp44,533.7,39.0,550,529,0.289684295654
scp45,527.2,39.0,528,527,0.369312214851
scp46,611.5,39.0,622,607,0.33390250206
scp47,448.1,39.0,454,447,0.227571558952
scp48,511.9,39.0,524,509,0.465697407723
scp49,698.0,39.0,705,695,0.407915616036
scp51,280.2,39.0,282,280,0.655966806412
scp510,280.4,39.0,282,280,0.374382734299
scp52,317.9,39.0,319,317,0.247349500656
scp53,247.0,39.0,247,247,0.649276423454
scp54,251.3,39.0,254,251,0.626464796066
scp55,225.1,39.0,226,225,0.303919386864
scp56,247.3,39.0,248,247,0.275211954117
scp57,315.2,39.0,316,315,0.308175706863
scp58,316.5,39.0,320,315,0.373695039749
scp59,315.0,39.0,315,315,1.91440570354
scp61,152.5,39.0,154,152,0.326657557487
scp62,159.8,39.0,164,154,0.321901893616
scp63,161.7,39.0,165,160,0.336763715744
scp64,140.0,39.0,140,140,0.8629134655
scp65,185.7,39.0,188,181,0.395661234856
scpa1,261.1,39.0,262,261,0.391657590866
scpa2,277.7,39.0,281,277,0.65159573555
scpa3,252.5,39.0,254,252,0.63691842556
scpa4,251.6,39.0,255,250,0.251685810089
scpa5,241.6,39.0,244,241,0.424920797348
scpb1,86.1,39.0,87,86,0.862492704391
scpb2,88.4,39.0,90,88,0.516526818275
scpb3,85.3,39.0,87,85,0.472564125061
scpb4,84.5,39.0,86,84,0.492356920242
scpb5,78.5,39.0,81,78,0.432293486595
scpc1,235.3,39.0,237,235,0.50402200222
scpc2,236.3,39.0,239,236,0.404527521133
scpc3,270.8,39.0,275,270,0.57926633358
scpc4,246.5,39.0,250,246,0.998298835754
scpc5,222.9,39.0,224,221,0.514903974533
scpclr10,35.0,39.0,35,35,1.30716986656
scpclr11,35.0,39.0,35,35,1.74341084957
scpclr12,35.0,39.0,35,35,2.7022521019
scpclr13,35.0,39.0,35,35,4.83125636577
scpcyc06,80.0,39.0,80,80,0.962336039543
scpcyc07,192.2,39.0,194,192,1.10957620144
scpcyc08,448.2,39.0,450,448,1.06486196518
scpcyc09,1027.6,39.0,1037,1024,1.19234690666
scpcyc10,2308.7,39.0,2312,2305,2.35698344707
scpcyc11,5138.3,39.0,5153,5122,5.44315793514
scpd1,62.5,39.0,66,62,0.232852721214
scpd2,74.4,39.0,76,74,0.545127010345
scpd3,79.2,39.0,81,79,0.661672258377
scpd4,68.1,39.0,69,67,0.649699473381
scpd5,66.0,39.0,67,65,0.700013303757
scpe1,7.4,39.0,8,7,0.0874223947526
scpe2,8.0,39.0,8,8,0.279069185257
scpe3,6.0,39.0,6,6,0.248652911186
scpe4,7.0,39.0,7,7,0.294140315056
scpe5,6.0,39.0,6,6,0.268618106842
scpnre1,30.0,39.0,30,30,1.10474066734
scpnre2,35.0,39.0,35,35,0.530137515068
scpnre3,33.9,39.0,35,32,0.457153820992
scpnre4,33.0,39.0,33,33,1.01085190773
scpnre5,30.4,39.0,32,30,0.368033194542
scpnrf1,17.0,39.0,17,17,0.410292291641
scpnrf2,18.0,39.0,18,18,0.563190126419
scpnrf3,17.2,39.0,19,17,0.494865560531
scpnrf4,17.5,39.0,18,16,0.378133869171
scpnrf5,16.0,39.0,16,16,0.373855519295
scpnrg1,196.7,39.0,198,196,0.880802202224
scpnrg2,169.0,39.0,171,168,0.466823029518
scpnrg3,180.4,39.0,182,180,0.845091319084
scpnrg4,184.3,39.0,186,182,0.4344217062
scpnrg5,189.0,39.0,190,187,0.50811817646
scpnrh1,73.2,39.0,74,73,0.454126954079
scpnrh2,68.0,39.0,70,67,0.53007774353
scpnrh3,69.2,39.0,71,68,0.500694131851
scpnrh4,67.8,39.0,68,67,0.449111390114
scpnrh5,61.1,39.0,62,61,0.760358524322
